Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name
2617,365000,house,Three_bedrooms,2008,September,Tuesday
2617,585000,house,Four_bedrooms,2008,September,Tuesday
2615,343000,house,Three_bedrooms,2008,September,Wednesday
2914,410000,house,Three_bedrooms,2008,September,Wednesday
2903,420000,house,Four_bedrooms,2008,September,Wednesday
2614,420000,house,Three_bedrooms,2008,September,Wednesday
2600,720000,house,Three_bedrooms,2008,September,Wednesday
2614,720000,house,Five_bedrooms,2008,September,Wednesday
2913,320000,house,Three_bedrooms,2008,September,Thursday
2902,474000,house,Four_bedrooms,2008,September,Thursday
2607,860000,house,Three_bedrooms,2008,September,Thursday
2913,460000,house,Three_bedrooms,2008,September,Friday
2602,592000,house,Two_bedrooms,2008,September,Friday
2913,695000,house,Five_bedrooms,2008,September,Friday
2617,346000,house,Three_bedrooms,2008,September,Saturday
2615,349950,house,Three_bedrooms,2008,September,Monday
2906,355000,house,Three_bedrooms,2008,September,Monday
2913,362000,house,Three_bedrooms,2008,September,Monday
2905,373000,house,Three_bedrooms,2008,September,Monday
2611,399000,house,Four_bedrooms,2008,September,Monday
2905,422250,house,Three_bedrooms,2008,September,Monday
2611,445000,house,Three_bedrooms,2008,September,Monday
2615,475000,house,Four_bedrooms,2008,September,Monday
2903,485000,house,Five_bedrooms,2008,September,Monday
2605,560500,house,Four_bedrooms,2008,September,Monday
2906,590000,house,Four_bedrooms,2008,September,Monday
2615,595000,house,Four_bedrooms,2008,September,Monday
2605,650000,house,Three_bedrooms,2008,September,Monday
2611,660000,house,Four_bedrooms,2008,September,Monday
2905,675000,house,Four_bedrooms,2008,September,Monday
2611,685000,house,Four_bedrooms,2008,September,Monday
2600,690000,house,Four_bedrooms,2008,September,Monday
2604,975000,house,Three_bedrooms,2008,September,Monday
2906,372000,house,Three_bedrooms,2008,September,Tuesday
2606,437000,house,Three_bedrooms,2008,September,Wednesday
2607,411000,house,Three_bedrooms,2008,September,Thursday
2903,450000,house,Four_bedrooms,2008,September,Thursday
2602,525000,house,Two_bedrooms,2008,September,Thursday
2913,312000,house,Three_bedrooms,2008,September,Friday
2617,510000,house,Four_bedrooms,2008,September,Friday
2607,707500,house,Four_bedrooms,2008,September,Friday
2914,755000,house,Four_bedrooms,2008,September,Friday
2617,380000,house,Four_bedrooms,2008,September,Monday
2611,389000,house,Three_bedrooms,2008,September,Monday
2906,415000,house,Three_bedrooms,2008,September,Monday
2611,557000,house,Four_bedrooms,2008,September,Monday
2605,585000,house,Four_bedrooms,2008,September,Monday
2604,595000,house,Two_bedrooms,2008,September,Monday
2906,875000,house,Five_bedrooms,2008,September,Monday
2913,367500,house,Four_bedrooms,2008,September,Tuesday
2614,372000,house,Three_bedrooms,2008,September,Tuesday
2605,549000,house,Three_bedrooms,2008,September,Tuesday
2615,575000,house,Four_bedrooms,2008,September,Tuesday
2905,594000,house,Four_bedrooms,2008,September,Tuesday
2612,662500,house,Two_bedrooms,2008,September,Tuesday
2904,455000,house,Four_bedrooms,2008,October,Wednesday
2904,390000,house,Three_bedrooms,2008,October,Thursday
2906,332000,house,Three_bedrooms,2008,October,Friday
2903,380000,house,Three_bedrooms,2008,October,Friday
2904,405000,house,Four_bedrooms,2008,October,Friday
2905,460000,house,Four_bedrooms,2008,October,Friday
2903,355000,house,Three_bedrooms,2008,October,Tuesday
2905,473000,house,Four_bedrooms,2008,October,Tuesday
2611,560000,house,Four_bedrooms,2008,October,Tuesday
2614,347000,house,Three_bedrooms,2008,October,Wednesday
2615,359950,house,Three_bedrooms,2008,October,Wednesday
2602,1030000,house,Three_bedrooms,2008,October,Wednesday
2904,338500,house,Three_bedrooms,2008,October,Thursday
2614,378000,house,Three_bedrooms,2008,October,Friday
2611,400000,house,Four_bedrooms,2008,October,Friday
2904,453000,house,Four_bedrooms,2008,October,Friday
2615,476600,house,Four_bedrooms,2008,October,Friday
2902,677500,house,Four_bedrooms,2008,October,Friday
2602,749950,house,Four_bedrooms,2008,October,Friday
2906,390000,house,Three_bedrooms,2008,October,Sunday
2611,435000,house,Three_bedrooms,2008,October,Monday
2617,507500,house,Four_bedrooms,2008,October,Monday
2905,350000,house,Three_bedrooms,2008,October,Tuesday
2903,399000,house,Three_bedrooms,2008,October,Tuesday
2914,420000,house,Four_bedrooms,2008,October,Tuesday
2904,450000,house,Three_bedrooms,2008,October,Tuesday
2602,525000,house,Two_bedrooms,2008,October,Tuesday
2602,595000,house,Four_bedrooms,2008,October,Tuesday
2602,910000,house,Three_bedrooms,2008,October,Tuesday
2611,395000,house,Three_bedrooms,2008,October,Wednesday
2605,552500,house,Three_bedrooms,2008,October,Wednesday
2914,375000,house,Three_bedrooms,2008,October,Thursday
2607,440000,house,Three_bedrooms,2008,October,Thursday
2617,352000,house,Three_bedrooms,2008,October,Friday
2617,495000,house,Four_bedrooms,2008,October,Friday
2611,530000,house,Four_bedrooms,2008,October,Friday
2612,690000,house,Three_bedrooms,2008,October,Friday
2604,342000,house,Two_bedrooms,2008,October,Saturday
2611,420000,house,Three_bedrooms,2008,October,Saturday
2602,575000,house,Three_bedrooms,2008,October,Saturday
2605,612000,house,Four_bedrooms,2008,October,Saturday
2902,349000,house,Three_bedrooms,2008,October,Monday
2905,350000,house,Three_bedrooms,2008,October,Monday
2913,480000,house,Four_bedrooms,2008,October,Monday
2615,342000,house,Three_bedrooms,2008,October,Tuesday
2617,372500,house,Four_bedrooms,2008,October,Tuesday
2902,375000,house,Three_bedrooms,2008,October,Tuesday
2615,408000,house,Four_bedrooms,2008,October,Tuesday
2914,515000,house,Four_bedrooms,2008,October,Tuesday
2614,370000,house,Three_bedrooms,2008,October,Wednesday
2612,657500,house,Four_bedrooms,2008,October,Wednesday
2617,340000,house,Three_bedrooms,2008,October,Thursday
2615,369000,house,Three_bedrooms,2008,October,Thursday
2913,419950,house,Three_bedrooms,2008,October,Thursday
2906,455000,house,Three_bedrooms,2008,October,Thursday
2615,495000,house,Four_bedrooms,2008,October,Thursday
2906,765000,house,Four_bedrooms,2008,October,Thursday
2913,361000,house,Three_bedrooms,2008,October,Friday
2903,425000,house,Three_bedrooms,2008,October,Friday
2913,498600,house,Four_bedrooms,2008,October,Friday
2617,570000,house,Four_bedrooms,2008,October,Friday
2902,330250,house,Three_bedrooms,2008,October,Monday
2903,337000,house,Three_bedrooms,2008,October,Monday
2615,360000,house,Three_bedrooms,2008,October,Monday
2914,440000,house,Three_bedrooms,2008,October,Monday
2914,475000,house,Four_bedrooms,2008,October,Monday
2615,510000,house,Four_bedrooms,2008,October,Monday
2602,1120000,house,Four_bedrooms,2008,October,Monday
2912,340000,house,Two_bedrooms,2008,October,Tuesday
2607,676000,house,Four_bedrooms,2008,October,Tuesday
2906,420000,house,Four_bedrooms,2008,October,Wednesday
2906,585000,house,Four_bedrooms,2008,October,Thursday
2605,720000,house,Five_bedrooms,2008,October,Thursday
2615,372000,house,Three_bedrooms,2008,October,Friday
2913,395000,house,Three_bedrooms,2008,October,Friday
2607,544000,house,Four_bedrooms,2008,October,Friday
2900,581650,house,Four_bedrooms,2008,October,Friday
2611,800000,house,Three_bedrooms,2008,October,Friday
2902,330000,house,Three_bedrooms,2008,November,Monday
2615,330000,house,Three_bedrooms,2008,November,Monday
2905,350000,house,Three_bedrooms,2008,November,Monday
2913,360000,house,Three_bedrooms,2008,November,Monday
2905,424000,house,Four_bedrooms,2008,November,Monday
2902,583000,house,Four_bedrooms,2008,November,Monday
2905,359950,house,Three_bedrooms,2008,November,Wednesday
2602,425000,house,Three_bedrooms,2008,November,Wednesday
2602,475000,house,Three_bedrooms,2008,November,Wednesday
2914,477500,house,Four_bedrooms,2008,November,Wednesday
2603,1425000,house,Three_bedrooms,2008,November,Wednesday
2611,345000,house,Two_bedrooms,2008,November,Thursday
2611,485000,house,Three_bedrooms,2008,November,Thursday
2906,557500,house,Four_bedrooms,2008,November,Thursday
2906,360000,house,Three_bedrooms,2008,November,Friday
2906,395000,house,Four_bedrooms,2008,November,Friday
2906,415000,house,Four_bedrooms,2008,November,Friday
2906,435000,house,Three_bedrooms,2008,November,Friday
2607,522000,house,Four_bedrooms,2008,November,Friday
2602,757500,house,Three_bedrooms,2008,November,Friday
2906,357000,house,Three_bedrooms,2008,November,Monday
2611,542000,house,Five_bedrooms,2008,November,Monday
2904,567000,house,Four_bedrooms,2008,November,Monday
2904,623700,house,Five_bedrooms,2008,November,Monday
2906,702500,house,Four_bedrooms,2008,November,Monday
2906,324000,house,Three_bedrooms,2008,November,Tuesday
2906,351000,house,Three_bedrooms,2008,November,Tuesday
2611,449000,house,Three_bedrooms,2008,November,Tuesday
2906,515000,house,Four_bedrooms,2008,November,Tuesday
2913,342500,house,Three_bedrooms,2008,November,Wednesday
2611,400000,house,Three_bedrooms,2008,November,Wednesday
